abscisa (m);cota cauce (m);cota agua (m)
0.00;100.47;False
0.00;100.99;False
1.20;101.05;False
1.20;99.39;True
15.00;94.30;False
30.00;93.62;False
45.00;93.49;False
60.00;93.65;False
75.00;92.19;False
90.00;92.73;False
105.00;93.64;False
120.00;95.11;False
135.00;96.58;False
150.00;96.45;False
165.00;96.18;False
180.00;96.24;False
195.00;96.56;False
210.00;96.36;False
225.00;96.31;False
240.00;96.59;False
260.00;96.78;False
280.00;96.33;False
300.00;97.05;False
323.50;99.39;True
325.00;100.40;False
330.00;100.68;False
